# Copyright (c) 2016 CJKVI Database
GHZR84776.01	⿰包風
GHZR84777.24	⿺風防
GHZR84778.21	⿺風身
GHZR84779.08	⿰夌風
GHZR84779.22	⿺風虎
GHZR84780.18	⿰咅風
GHZR84780.27	⿰枼風
GHZR84782.22	⿺風⿱穴㕛
GHZR84783.01	⿰叜風
GHZR84783.08	⿺風敖
GHZR84784.04	⿺風㽜
GHZR84785.04	⿰⿳𠂊回夕風
GHZR84785.12	⿺風⿱羽尒
GHZR84786.10	⿺風禽
GHZR84787.02	⿰詹風
GHZR84787.11	⿺風麃
GHZR84787.21	⿺風燮
GHZR84787.23	⿺風聶
GHZR84787.25	⿺風蟲
GHZR84790.10	⿰音⿱爫工
GHZR84790.21	⿰音⿳亼⺍口
GHZR84796.10	⿰韋叉
GHZR84835.13	⿰馬手
GHZR84840.02	⿰馬囙
GHZR84841.03	⿰馬他
GHZR84841.14	⿰馬夘
GHZR84842.10	⿰馬宂
GHZR84846.02	⿰馬丠
GHZR84846.05	⿰馬⿱⺊日
GHZR84850.03	⿰馬⿱又丑
GHZR84850.09	⿰馬𡉵
GHZR84852.07	⿲馬亻付
GHZR84853.09	⿰馬⿱厼又
GHZR84856.14	⿰馬臾
GHZR84857.10	⿰馬⿹勹㱏
GHZR84860.17	⿰馬乗
GHZR84861.11	⿰馬⿳凶𡭔又
GHZR84862.04	⿰馬宣
GHZR84864.11	⿰馬素
GHZR84865.17	⿰馬𢙣
GHZR84866.02	⿰馬𠳮
GHZR84867.10	⿰馬㽜
GHZR84871.08	⿰馬⿱止豆
GHZR84871.15	⿰馬⿱山昌
GHZR84871.21	⿰馬⿱彡忩
GHZR84872.01	⿰馬𭦌
GHZR84872.04	⿰馬𢉖
GHZR84873.03	⿰馬惡
GHZR84874.02	⿰馬𠁊
GHZR84875.05	⿱𠗲馬
GHZR84876.13	⿰馬肆
GHZR84878.04	⿰馬𮗏
GHZR84879.11	⿰馬𭧂
GHZR84879.12	⿰馬𥠖
GHZR84879.13	⿰馬⿱丿⿻𠈌由
GHZR84880.04	⿰馬趠
GHZR84880.11	⿰馬⿱凶鳥
GHZR84880.14	⿰馬⿸𢉖灬
GHZR84885.05	⿱可鬲
GHZR84887.15	⿱⿲弓去弓鬲
GHZR84889.06	⿱⿲弓𭑈弓鬲
GHZR84889.12	⿱⿲弓咸弓鬲
GHZR84889.15	⿳羔𦍌鬲
GHZR84889.19	⿱⿲弓失⿰失弓鬲
GHZR84890.08	⿱⿲弓⿱⿳艹罒冖戊弓鬲
GHZR84892.15	⿵鬥賔
GHZR84895.02	⿱高丁
GHZR84895.03	⿱高几
GHZR84895.15	⿰高申
GHZR84895.20	⿰高㞋
GHZR84895.21	⿰高亘
GHZR84896.10	⿱敬高
GHZR84896.13	⿰⿱高⺸亘
GHZR84898.01	⿰黄生
GHZR84901.03	⿰麦丂
GHZR84901.05	⿰麦匕
GHZR84901.13	⿰麦山
GHZR84902.16	⿰麦手
GHZR84903.10	⿰麦去
GHZR84903.18	⿰麦禾
GHZR84903.22	⿰麦𠮦
GHZR84904.12	⿰⿱山尸麦
GHZR84904.16	⿰麦自
GHZR84904.21	⿰麦各
GHZR84904.24	⿰麦并
GHZR84904.26	⿰麦米
GHZR84905.06	⿰麦甫
GHZR84905.20	⿰麦孚
GHZR84905.23	⿰麦沙
GHZR84906.12	⿰麦果
GHZR84906.18	⿰麦季
GHZR84906.20	⿰麦隹
GHZR84907.04	⿰麦备
GHZR84907.09	⿰麦咅
GHZR84907.14	⿰麦胡
GHZR84907.21	⿰麦俞
GHZR84908.06	⿰麦柔
GHZR84908.08	⿰麦敄
GHZR84908.10	⿱敄麦
GHZR84908.17	⿰麦莎
GHZR84908.24	⿰麦俻
GHZR84908.26	⿰麦差
GHZR84909.13	⿰麦⿻千𠈌
GHZR84910.02	⿰麦粦
GHZR84910.04	⿰麦蒙
GHZR84910.13	⿰麦𣘐
GHZR84911.07	⿰鹵仐
GHZR84912.13	⿰鹵⿱八今
GHZR84912.16	⿱卤豆
GHZR84912.19	⿰鹵⿱𠂊旧
GHZR84924.04	⿰尺鳥
GHZR84925.20	⿰鳥旦
GHZR84931.03	⿰台鳥
GHZR84932.16	⿰鳥成
GHZR84936.03	⿰⿱亠氏鳥
GHZR84938.10	⿰孝鳥
GHZR84939.15	⿰鳥旱
GHZR84942.14	⿰⿱⿱亠丷子鳥
GHZR84955.04	⿰穾鳥
GHZR84957.16	⿰𢙣鳥
GHZR84958.11	⿰笄鳥
GHZR84967.18	⿰⿱羽尒鳥
GHZR84968.04	⿰替鳥
GHZR84968.12	⿰⿱⿳士冖一𡖉鳥
GHZR84968.22	⿰⿱𦭝心鳥
GHZR84969.08	⿰𣷚鳥
GHZR84970.03	⿰㖾鳥
GHZR84972.12	⿱㲄鳥
GHZR84976.08	⿰⿳𡧇皿丁鳥
GHZR84979.12	⿰劉鳥
GHZR84979.18	⿱𨿣鳥
GHZR84980.09	⿰鳥⿳𣅽八氺
GHZR84990.11	⿰魚𠘭
GHZR85005.19	⿰魚⿱火干
GHZR85013.18	⿰魚𢍆
GHZR85015.19	⿰魚⿳日八女
GHZR85018.04	⿰魚⿱亡⿹勹方
GHZR85018.08	⿰魚娄
GHZR85023.17	⿰魚𥥗
GHZR85025.15	⿰魚戝
GHZR85026.05	⿰魚䍘
GHZR85029.13	⿰魚𣷚
GHZR85029.17	⿰魚量
GHZR85035.08	⿰魚𮧊
GHZR85036.09	⿰魚⿳𦉷八𢎨
GHZR85038.01	⿰魚蟸
GHZR85047.13	⿸鹿⿱厼又
GHZR85051.04	⿸鹿⿺辶来
GHZR85052.18	⿸鹿彌
GHZR85064.05	⿰黑𢦙
GHZR85064.13	⿰黑夆
GHZR85070.14	⿰黑𭦌
GHZR85077.01	⿰黍⿱⿹勹丿尒
GHZR85080.01	⿱鼓可
GHZR85085.01	⿰去𬹝
GHZR85085.04	⿱甸黽
GHZR85085.17	⿺𬹝甸
GHZR85087.06	⿰鼠夕
GHZR85094.04	⿰鼻卜
GHZR85095.22	⿰鼻夹
GHZR85105.01	⿰齒犬
GHZR85105.18	⿰齒分
GHZR85107.01	⿰齒他
GHZR85107.10	⿰齒𠮦
GHZR85111.21	⿰齒⿱厼又
GHZR85113.21	⿱封齒
GHZR85114.02	⿱𠡠齒
GHZR85115.01	⿰齒竒
GHZR85116.02	⿰齿盍
GHZR85116.12	⿰齒逢
GHZR85117.05	⿰齒宵
GHZR85117.16	⿰齒⿱宀⿰耳𡿨
GHZR85118.01	⿱𢽟齒
GHZR85118.15	⿱貇齒
GHZR85118.25	⿰齒𮧊
GHZR85119.08	⿰齒聮
GHZR85122.02	⿰开龍
GHZR85123.08	⿱垥龍
G_PGLG1002	⿰鱼卜
G_PGLG1004	⿰氵马
G_PGLG2013	⿰日连
G_PGLG2014	⿰纟中
G_PGLG2016	⿰口动
G_PGLG2017	⿰度多
G_PGLG2018	⿰书史
G_PGLG3054	⿰扌许
G_PGLG3055	⿰𧾷贺
G_PGLG4008	⿰口东
G_PGLG4009	⿰手夆
G_PGLG5009	⿰纟丁
G_Z0011502	⿰骨而
G_Z0021101	⿱艹肯
G_Z0022301	⿱艹歐
G_Z0031101	⿱歐灬
G_Z0031401	⿱肚亥
G_Z0032301	⿰身爱
G_Z0041501	⿰月掌
G_Z0042102	⿰樂元
G_Z0051201	⿵門丫
G_Z0051301	⿱父叔
G_Z0062205	⿰臂宅
G_Z0062301	⿱艹逼
G_Z0062403	⿰北力
G_Z0071201	⿰火北
G_Z0071405	⿰分本
G_Z0072303	⿰布憑
G_Z0072402	⿰口宾
G_Z0081102	⿰車本
G_Z0081303	⿰扌貧
G_Z0082101	⿰石貧
G_Z0091301	⿰手弗
G_Z0101203	⿰盖不
G_Z0101401	⿰冫皮
G_Z0111108	⿰八刂
G_Z0112101	⿰亻敗
G_Z0112202	⿰身拜
G_Z0122202	⿱把女
G_Z0122502	⿰木貧
G_Z0141501	⿸疒办
G_Z0142302	⿰舟班
G_Z0142401	⿰扌办
G_Z0151401	⿱山白
G_Z0151501	⿰缶八
G_Z0152201	⿰刀包
G_Z0161201	⿺包谷
G_Z0161402	⿰女百
G_Z0162301	⿺巴八
G_Z0172102	⿰彳白
G_Z0182204	⿰亻貝
G_Z0182504	⿱比風
G_Z0191101	⿱皮土
G_Z0191203	⿰片必
G_Z0191302	⿱别手
G_Z0201101	⿰衤兵
G_Z0201301	⿰貴兵
G_Z0201402	⿰天扁
G_Z0202101	⿺走片
G_Z0202301	⿰身必
G_Z0202501	⿰單包
G_Z0211201	⿰表鳥
G_Z0212405	⿱宀百
G_Z0221503	⿱别八
G_Z0222102	⿰白芋
G_Z0222201	⿰革边
G_Z0222301	⿱竹編
G_Z0222601	⿰木边
G_Z0222703	⿰扌𠁣
G_Z0231301	⿱天旁
G_Z0231401	⿰片更
G_Z0241201	⿰米宾
G_Z0242202	⿰亻𢨿
G_Z0242601	⿰平乒
G_Z0252102	⿱鴨必
G_Z0252302	⿺毛比
G_Z0261402	⿸疒標
G_Z0262601	⿱肥皮
G_Z0271301	⿸广波
G_Z0272401	⿰破卜
G_Z0281102	⿰扌破
G_Z0281302	⿰車剝
G_Z0282201	⿰口罈
G_Z0282401	⿰飠朋
G_Z0291301	⿱朋白
G_Z0291404	⿱朋土
G_Z0302401	⿰口背
G_Z0312302	⿰𧾷彭
G_Z0312504	⿱哺女
G_Z0321201	⿺風朋
G_Z0322502	⿰日盤
G_Z0331303	⿰吹卜
G_Z0341101	⿰肉孚
G_Z0342701	⿰日逢
G_Z0351201	⿰手般
G_Z0352702	⿰布衣
G_Z0361301	⿱山月
G_Z0362501	⿰不刂
G_Z0371601	⿰口目
G_Z0372304	⿺毛门
G_Z0381203	⿺毛粪
G_Z0381301	⿰飠盘
G_Z0381503	⿱肺八
G_Z0382203	⿺巴魚
G_Z0382303	⿰丁岜
G_Z0391202	⿵门朋
G_Z0391301	⿰刃文
G_Z0391501	⿰扌乜
G_Z0392403	⿺尾來
G_Z0392506	⿺辶𠂢
G_Z0401101	⿺鬼拜
G_Z0401203	⿺電巴
G_Z0401301	⿰百壳
G_Z0401401	⿰荅头
G_Z0402202	⿱云曼
G_Z0412101	⿰禾岜
G_Z0421202	⿺毛宾
G_Z0422301	⿵门分
G_Z0431401	⿰廋本
G_Z0431502	⿰半彭
G_Z0431701	⿱翻本
G_Z0432101	⿰口笠
G_Z0441201	⿰有有
G_Z0441404	⿱宀不
G_Z0442501	⿱沸孚
G_Z0451403	⿰𧾷六
G_Z0451501	⿱士㓀
G_Z0452201	⿰氵品
G_Z0461101	⿰𧾷肯
G_Z0461201	⿱品平
G_Z0471501	⿰米㐅
G_Z0472101	⿰刀則
G_Z0481101	⿰犭則
G_Z0491402	⿰折尖
G_Z0492402	⿰石审
G_Z0501206	⿰亻寻
G_Z0502301	⿰重𠬶
G_Z0531301	⿰冫習
G_Z0532101	⿰手之
G_Z0532401	⿰扌七
G_Z0542203	⿰早丑
G_Z0551101	⿰糹仇
G_Z0551301	⿸疒仇
G_Z0552205	⿰饣囚
G_Z0552302	⿰忄守
G_Z0561201	⿰糹作
G_Z0571301	⿰氵在
G_Z0581301	⿰叉参
G_Z0582501	⿰刀参
G_Z0591101	⿰山餐
G_Z0592101	⿸疒双
G_Z0592401	⿰亻匠
G_Z0601201	⿰氵上
G_Z0601401	⿱上廾
G_Z0602401	⿰十長
G_Z0612202	⿰扌杂
G_Z0612401	⿰豕查
G_Z0621502	⿰杀查
G_Z0622502	⿱巧九
G_Z0631501	⿰刍少
G_Z0631601	⿰草少
G_Z0632304	⿰石⿱戈兀
G_Z0641201	⿰火造
G_Z0642302	⿰口徐
G_Z0651701	⿰杀刀
G_Z0661601	⿱列开
G_Z0662101	⿰米這
G_Z0662402	⿰口指
G_Z0671101	⿰日孑
G_Z0671501	⿰米埀
G_Z0681101	⿰差争
G_Z0682201	⿰犭千
G_Z0682301	⿱千皿
G_Z0692201	⿺堯火
G_Z0692501	⿸疒蛇
G_Z0702101	⿰忄着
G_Z0711103	⿰米尖
G_Z0711402	⿰扌⿺爪占
G_Z0711502	⿱千灬
G_Z0712304	⿰正章
G_Z0721101	⿰昌丈
G_Z0721301	⿰養𠀋
G_Z0722601	⿱战灬
G_Z0731501	⿰口专
G_Z0741202	⿱之灬
G_Z0742201	⿰只尺
G_Z0751303	⿰看針
G_Z0752301	⿰氵𡬶
G_Z0761101	⿰真見
G_Z0761301	⿰肉正
G_Z0771201	⿱成心
G_Z0771401	⿱入車
G_Z0772201	⿱淡出
G_Z0772304	⿰火余
G_Z0781101	⿰米旭
G_Z0781304	⿰亻早
G_Z0782602	⿰东阝
G_Z0791104	⿰冫十
G_Z0791201	⿱刺金
G_Z0801102	⿰女直
G_Z0801201	⿰忄疏
G_Z0811103	⿰男曾
G_Z0811201	⿰叠𠬶
G_Z0811503	⿰宗毛
G_Z0812201	⿰言宋
G_Z0812301	⿱助宗
G_Z0821101	⿺虎虫
G_Z0821310	⿰日蠢
G_Z0822104	⿰日着
G_Z0822401	⿰牛左
G_Z0831101	⿱初向
G_Z0832104	⿰亻追
G_Z0841103	⿰初受
G_Z0842201	⿵门穿
G_Z0842401	⿱双口
G_Z0851403	⿱水寸
G_Z0851501	⿰出存
G_Z0852101	⿰氵寸
G_Z0861402	⿱竹初
G_Z0862201	⿰早尤
G_Z0871102	⿺辶受
G_Z0872302	⿰木𥦗
G_Z0872401	⿱穴双
G_Z0872502	⿱放中
G_Z0881202	⿰石串
G_Z0881502	⿰手束
G_Z0882101	⿱束灬
G_Z0882401	⿰石埀
G_Z0892201	⿰冲甬
G_Z0892401	⿸疒中
G_Z0902203	⿰飠足
G_Z0902603	⿰盖司
G_Z0912201	⿰正争
G_Z0931103	⿰亻打
G_Z0931203	⿰目打
G_Z0932301	⿰木迏
G_Z0942203	⿰衤代
G_Z0942302	⿺辶𠨼
G_Z0951204	⿰扌德
G_Z0951303	⿰虫迪
G_Z0952405	⿱打丁
G_Z0972305	⿵门田
G_Z0972401	⿰吞咒
G_Z0981201	⿰日当
G_Z0981401	⿰丁平
G_Z0982101	⿰𧾷豋
G_Z0982304	⿰石等
G_Z0991202	⿰秤等
G_Z0991402	⿰言等
G_Z0992301	⿰丁止
G_Z1001403	⿰月⿱夭丁
G_Z1002302	⿰穿等
G_Z1002401	⿰压屯
G_Z1011201	⿱大叠
G_Z1011302	⿰禾叠
G_Z1012501	⿰帝刂
G_Z1022302	⿰灰斗
G_Z1031201	⿰來斗
G_Z1031301	⿰木陋
G_Z1042501	⿰𧾷提
G_Z1051103	⿰比度
G_Z1052202	⿰女达
G_Z1052402	⿰女胎
G_Z1061103	⿱大老
G_Z1072302	⿰虫达
G_Z1081303	⿰日沓
G_Z1081501	⿰扌貪
G_Z1091301	⿱刹旦
G_Z1102201	⿱党灬
G_Z1111102	⿰光党
G_Z1111301	⿰貝当
G_Z1112101	⿱当木
G_Z1121301	⿰衤堂
G_Z1131402	⿱坦刀
G_Z1141302	⿰阝逹
G_Z1141401	⿰达刂
G_Z1141501	⿰刀巾
G_Z1142101	⿰月刀
G_Z1152101	⿰月𢛳
G_Z1152302	⿱筷示
G_Z1161304	⿰拿提
G_Z1171103	⿰𧾷大
G_Z1171505	⿰亻⿱叒土
G_Z1182302	⿰扌⿱夭氺
G_Z1182401	⿰口敵
G_Z1191201	⿰土沗
G_Z1191401	⿰目店
G_Z1192102	⿱竹电
G_Z1202503	⿰被田
G_Z1211101	⿰近枼
G_Z1211401	⿰口鉄
G_Z1212101	⿰扌刁
G_Z1212201	⿰刁刂
G_Z1212406	⿰口挑
G_Z1221102	⿰𧾷逃
G_Z1221301	⿰火爹
G_Z1222201	⿰生吉
G_Z1222301	⿰𧾷貼
G_Z1231301	⿰𧾷⿱夭氺
G_Z1231401	⿰口点
G_Z1232301	⿱竹点
G_Z1241401	⿱夭土
G_Z1241501	⿰貝田
G_Z1242201	⿰日啇
G_Z1251201	⿰貴体
G_Z1252101	⿱敵刀
G_Z1271503	⿰𧾷亭
G_Z1272404	⿱短天
G_Z1282501	⿰丢留
G_Z1291501	⿰金提
G_Z1301201	⿰口独
G_Z1301307	⿰氵笠
G_Z1302303	⿱淡土
G_Z1302405	⿱冖淋
G_Z1302502	⿰米敦
G_Z1311203	⿰土冬
G_Z1312201	⿰水甬
G_Z1321301	⿱雨東
G_Z1322101	⿱吐屯
G_Z1322201	⿰孑乇
G_Z1332401	⿰衤对
G_Z1332501	⿰石对
G_Z1342301	⿰貝圡
G_Z1342403	⿰石夺
G_Z1352101	⿱柱東
G_Z1352203	⿱冲東
G_Z1352301	⿰凸冬
G_Z1361401	⿱断刀
G_Z1362102	⿰飠短
G_Z1362305	⿰虫堕
G_Z1371101	⿰口兔
G_Z1371301	⿰犭度
G_Z1371501	⿸疒脱
G_Z1372202	⿰口脱
G_Z1372301	⿺尼夺
G_Z1372502	⿵门豆
G_Z1381203	⿰扌头
G_Z1381606	⿺辶托
G_Z1382201	⿰糹图
G_Z1382402	⿰金图
G_Z1391302	⿰屠刂
G_Z1392302	⿱独打
G_Z1392601	⿰火团
G_Z1401102	⿰口放
G_Z1402101	⿺黾冬
G_Z1402302	⿰犭駦
G_Z1411201	⿺辶团
G_Z1411301	⿰扌奪
G_Z1412103	⿱独条
G_Z1412404	⿰豆都
G_Z1421501	⿱独包
G_Z1422101	⿱竹独
G_Z1422301	⿱水朋
G_Z1422401	⿰煮東
G_Z1431401	⿱竹東
G_Z1432204	⿰冬胃
G_Z1442502	⿰口田
G_Z1472202	⿰牛厄
G_Z1472304	⿱艹𣢟
G_Z1482101	⿰益先
G_Z1491101	⿰叫争
G_Z1501101	⿰蓋发
G_Z1501401	⿱罒法
G_Z1511105	⿰則刀
G_Z1511301	⿰伏豆
G_Z1511401	⿰伏分
G_Z1512303	⿰米奉
G_Z1521102	⿰笨分
G_Z1521502	⿰齿文
G_Z1531101	⿱伏包
G_Z1531302	⿰冫哉
G_Z1532104	⿰帛外
G_Z1541301	⿱艹犯
G_Z1541402	⿰片方
G_Z1542204	⿰房鬼
G_Z1542402	⿰口盲
G_Z1552106	⿰片发
G_Z1552201	⿰手法
G_Z1562202	⿰金发
G_Z1562501	⿰金飞
G_Z1571101	⿱竹非
G_Z1581201	⿱口法
G_Z1582101	⿰果房
G_Z1582201	⿰禾房
G_Z1582401	⿱比弗
G_Z1591101	⿰酉非
G_Z1591603	⿱独大
G_Z1592101	⿰复反
G_Z1601201	⿰口伏
G_Z1602501	⿰氵夫
G_Z1602601	⿰父戍
G_Z1611102	⿰金父
G_Z1612401	⿱天犯
G_Z1621101	⿰房房
G_Z1621701	⿵門封
G_Z1622101	⿰房风
G_Z1622407	⿰魚毕
G_Z1631104	⿱羽发
G_Z1631204	⿱欢言
G_Z1631501	⿱非灬
G_Z1632202	⿰孑云
G_Z1632401	⿰香逢
G_Z1641101	⿰口逢
G_Z1641305	⿰柴文
G_Z1641401	⿰自弗
G_Z1641501	⿹气勿
G_Z1651101	⿰卡鳥
G_Z1652101	⿰手甲
G_Z1652501	⿰及窄
G_Z1661201	⿹气吉
G_Z1662201	⿰日介
G_Z1671103	⿺克北
G_Z1672104	⿰手甘
G_Z1681401	⿴囗今
G_Z1682301	⿱根鳥
G_Z1691401	⿱臤斤
G_Z1692501	⿰扌勤
G_Z1702401	⿰及合
G_Z1702503	⿰計鳥
G_Z1711301	⿰牙吉
G_Z1721205	⿰口扣
G_Z1722201	⿰虫九
G_Z1722504	⿰看勾
G_Z1731101	⿰多九
G_Z1731204	⿰多足
G_Z1731301	⿰舅九
G_Z1732103	⿰扌启
G_Z1741101	⿰舌卡
G_Z1741401	⿰介賣
G_Z1742501	⿰压盖
G_Z1752110	⿱刹刀
G_Z1761307	⿰山感
G_Z1762401	⿰缶康
G_Z1771102	⿰口鋼
G_Z1771301	⿰扌崗
G_Z1772101	⿰月康
G_Z1772203	⿰骨肯
G_Z1781101	⿱抗灬
G_Z1782601	⿰手夾
G_Z1792402	⿰亻㐍
G_Z1801201	⿺辶高
G_Z1821101	⿰甲各
G_Z1822402	⿰車乇
G_Z1831401	⿰吝桀
G_Z1841101	⿰半杰
G_Z1841301	⿱几心
G_Z1851501	⿰𧾷儉
G_Z1852101	⿰月敢
G_Z1852201	⿰月监
G_Z1852503	⿰手建
G_Z1861201	⿰言坚
G_Z1861301	⿰石𦍑
G_Z1862601	⿰虫肯
G_Z1871104	⿱雨坚
G_Z1871405	⿺近坚
G_Z1872201	⿰日近
G_Z1872501	⿰手雚
G_Z1872601	⿱坚心
G_Z1881101	⿰火夹
G_Z1881503	⿰母老
G_Z1882101	⿰娄巨
G_Z1882301	⿰酉結
G_Z1892202	⿰叫鳥
G_Z1892401	⿰牙告
G_Z1901301	⿰刀求
G_Z1902201	⿰金佥
G_Z1902402	⿱儉肉
G_Z1911201	⿰米浆
G_Z1912202	⿰弓𦍑
G_Z1921501	⿰亻启
G_Z1922201	⿰女企
G_Z1922401	⿰手亟
G_Z1941301	⿰身苟
G_Z1951202	⿰口拾
G_Z1952201	⿰去穷
G_Z1952501	⿰倒吉
G_Z1962102	⿰𧾷久
G_Z1962401	⿱竹救
G_Z1962502	⿰菜求
G_Z1971201	⿰去里
G_Z1972101	⿰骨其
G_Z1972401	⿰飠哥
G_Z1981302	⿰谷头
G_Z1982203	⿰盖今
G_Z1991102	⿺毛申
G_Z1991202	⿰火均
G_Z1992101	⿱山弓
G_Z2001103	⿰金困
G_Z2011206	⿰虫角
G_Z2012201	⿰手可
G_Z2022103	⿰土穷
G_Z2031401	⿰水昆
G_Z2041401	⿰金过
G_Z2042207	⿺九求
G_Z2042303	⿱双勾
G_Z2051302	⿰弯貨
G_Z2051602	⿰金故
G_Z2052101	⿰短乞
G_Z2052202	⿰工右
G_Z2052601	⿰飠光
G_Z2071403	⿺逵弯
G_Z2072304	⿰曲虎
G_Z2072602	⿱凹鳥
G_Z2081105	⿰弓背
G_Z2081302	⿱土今
G_Z2082501	⿺辶弓
G_Z2091301	⿰亻弓
G_Z2092201	⿰空貧
G_Z2102101	⿰曲鳥
G_Z2131103	⿰亻乖
G_Z2131401	⿰𧾷怪
G_Z2131501	⿰口块
G_Z2131602	⿰要快
G_Z2132302	⿰竺瓜
G_Z2132603	⿰男关
G_Z2142206	⿰光广
G_Z2142301	⿰贯千
G_Z2142404	⿺辶卦
G_Z2151501	⿺辶瓜
G_Z2151601	⿰手右
G_Z2152502	⿰刀割
G_Z2161107	⿰虫杰
G_Z2162103	⿰刀括
G_Z2162201	⿰淶告
G_Z2162302	⿰𧾷節
G_Z2162401	⿰魚龟
G_Z2162601	⿰石𡚖
G_Z2171101	⿰𧾷𡚖
G_Z2171401	⿱竹頃
G_Z2172402	⿰開天
G_Z2172501	⿱木𤇏
G_Z2172605	⿰馬克
G_Z2181102	⿰孑其
G_Z2181407	⿰上艮
G_Z2182301	⿰𧾷克
G_Z2182401	⿱艹克
G_Z2192402	⿺辶志
G_Z2201101	⿰綑立
G_Z2211101	⿰鼻斤
G_Z2211205	⿵门曾
G_Z2212101	⿰氵降
G_Z2221301	⿰月近
G_Z2222203	⿰𧾷急
G_Z2222302	⿰蛋虽
G_Z2231201	⿰美求
G_Z2231302	⿰首斗
G_Z2241401	⿰介年
G_Z2242101	⿰耒介
G_Z2242402	⿸疒角
G_Z2242601	⿰飠间
G_Z2251203	⿱花灬
G_Z2262302	⿰蛛交
G_Z2272103	⿰意可
G_Z2281101	⿰亻覚
G_Z2281201	⿱枯干
G_Z2282101	⿱空心
G_Z2282403	⿰多共
G_Z2292402	⿰蕉介
G_Z2301204	⿰壴冬
G_Z2301303	⿺包共
G_Z2302202	⿰吞吞
G_Z2302301	⿰火覚
G_Z2311402	⿰盐都
G_Z2321301	⿱竹閧
G_Z2331301	⿰目革
G_Z2342305	⿰口盒
G_Z2342402	⿰日朿
G_Z2361201	⿰糹艮
G_Z2362401	⿰喜肯
G_Z2371311	⿰言亘
G_Z2371501	⿱狠力
G_Z2372101	⿰氵恨
G_Z2372201	⿱那艮
G_Z2372304	⿰石亘
G_Z2382106	⿰早七
G_Z2391306	⿱后入
G_Z2392101	⿰豆入
G_Z2392403	⿰未許
G_Z2401102	⿰官学
G_Z2402204	⿰𫔭害
G_Z2412302	⿺克官
G_Z2422403	⿰月舀
G_Z2431101	⿰辛咸
G_Z2431315	⿱𡨄彡
G_Z2432101	⿱項金
G_Z2432402	⿱行火
G_Z2441103	⿸尸行
G_Z2441204	⿰口航
G_Z2441402	⿰齿工
G_Z2442101	⿰汉鳥
G_Z2442202	⿰木罕
G_Z2442301	⿱𡨄正
G_Z2451602	⿱好白
G_Z2461201	⿰号后
G_Z2461501	⿰衤孝
G_Z2462301	⿰魚号
G_Z2471102	⿱土毛
G_Z2471301	⿰亻圩
G_Z2472104	⿰虚干
G_Z2472305	⿺毛何
G_Z2482203	⿰口戏
G_Z2482303	⿰口気
G_Z2491105	⿰冫夷
G_Z2501102	⿵门黄
G_Z2501301	⿰土閑
G_Z2502401	⿰生号
G_Z2511302	⿰好牙
G_Z2512201	⿰糹号
G_Z2521201	⿰犭欣
G_Z2522601	⿰土呇
G_Z2532301	⿵門空
G_Z2541101	⿴囗項
G_Z2541305	⿰扌伝
G_Z2541401	⿱烟云
G_Z2551103	⿰回灰
G_Z2552101	⿰回开
G_Z2552205	⿰火虎
G_Z2561401	⿰工厷
G_Z2571101	⿱摇云
G_Z2571201	⿰年合
G_Z2571401	⿰手户
G_Z2572301	⿰米可
G_Z2582201	⿰谷愚
G_Z2591303	⿰工大
G_Z2591401	⿱勿貝
G_Z2592101	⿰禾乎
G_Z2601103	⿰月則
G_Z2601502	⿰暑幸
G_Z2611101	⿰忄日
G_Z2621103	⿰饣约
G_Z2621201	⿰奄刀
G_Z2621401	⿰𡘤皮
G_Z2622105	⿰氵厭
G_Z2622301	⿰月香
G_Z2631103	⿱央火
G_Z2631201	⿰豆想
G_Z2631501	⿰水頁
G_Z2632201	⿱伸乙
G_Z2641202	⿰米壬
G_Z2642503	⿱小衣
G_Z2651307	⿺堯夭
G_Z2671101	⿱堆立
G_Z2672203	⿱深力
G_Z2702101	⿰孑令
G_Z2702506	⿺色立
G_Z2711110	⿺色黑
G_Z2711201	⿱穴乐
G_Z2711301	⿰孑累
G_Z2722201	⿰言娄
G_Z2722501	⿰亻刘
G_Z2742301	⿰冫拉
G_Z2751409	⿱天拉
G_Z2752401	⿰冫腊
G_Z2761302	⿰山孫
G_Z2761503	⿰牛良
G_Z2762202	⿰日浪
G_Z2762302	⿰方良
G_Z2782104	⿰畏劳
G_Z2782401	⿰飠校
G_Z2791502	⿰肉劳
G_Z2801202	⿰力犂
G_Z2801301	⿰手羅
G_Z2802402	⿱拉金
G_Z2802602	⿰六合
G_Z2811202	⿰扌烈
G_Z2821401	⿱勒列
G_Z2841101	⿰乘力
G_Z2841201	⿰里歷
G_Z2841301	⿰忄巤
G_Z2842102	⿰連刂
G_Z2851101	⿱人兩
G_Z2852101	⿺瓜良
G_Z2852301	⿰冫良
G_Z2861402	⿱立土
G_Z2862203	⿰裂力
G_Z2872202	⿰貝令
G_Z2872401	⿰魚灵
G_Z2872503	⿰忄另
G_Z2881406	⿰林鳥
G_Z2882206	⿰舌灵
G_Z2891302	⿱料木
G_Z2892101	⿱料心
G_Z2901302	⿰女料
G_Z2902102	⿰里生
G_Z2902401	⿰舌呂
G_Z2912301	⿱錯六
G_Z2912501	⿰六車
G_Z2921401	⿰弄迷
G_Z2931101	⿰𦚏寬
G_Z2931301	⿰糹龙
G_Z2931504	⿱脱吝
G_Z2932401	⿰身罗
G_Z2941101	⿱利手
G_Z2941502	⿰口卵
G_Z2942401	⿰礻农
G_Z2951201	⿰禾路
G_Z2951301	⿰梦乐
