# Copyright (c) 2014-2015 CJKVI Database
GZ-3151301	⿰男包
GZ-3151302	⿰子报
GZ-3152101	⿰白片
GZ-3152110	⿰葉書
GZ-3162401	⿰歪𠁣
GZ-3172301	⿺乙品
GZ-3172312	⿺乙民
GZ-3181101	⿰缺⿹飞去
GZ-3181202	⿰扌迷
GZ-3182301	⿰竹落
GZ-3182406	⿰布落
GZ-3191102	⿰口悶
GZ-3211204	⿰氵么
GZ-3211501	⿰忄目
GZ-3222304	⿰子畐
GZ-3222401	⿱天云
GZ-3222402	⿱天門
GZ-3222404	⿰天云
GZ-3222405	⿱雨門
GZ-3222406	⿱雨门
GZ-3232201	⿰虫岜
GZ-3232601	⿰女乜
GZ-3232604	⿰女密
GZ-3241501	⿰酉末
GZ-3241502	⿰酉米
GZ-3241503	⿰酉美
GZ-3252401	⿰密刂
GZ-3252402	⿰密刀
GZ-3252408	⿰刀眉
GZ-3261111	⿰氵𠁣
GZ-3281501	⿱上眉
GZ-3282502	⿱没虫
GZ-3291401	⿰衤莫
GZ-3291402	⿰衤目
GZ-3301301	⿰火没
GZ-3302103	⿰石墓
GZ-3302302	⿰女目
GZ-3321501	⿰亲莫
GZ-3321503	⿰冫墓
GZ-3321601	⿰犭某
GZ-3321607	⿰猪某
GZ-3322101	⿰氵务
GZ-3322301	⿰牛莫
GZ-3322401	⿰犭巫
GZ-3331103	⿰望孟
GZ-3331207	⿰望网
GZ-3341305	⿰木务
GZ-3361401	⿱宀自
GZ-3371201	⿸疒曼
GZ-3372402	⿰眉菌
GZ-3382503	⿰口埃
GZ-3411101	⿱那厚
GZ-3411103	⿰手那
GZ-3411302	⿱雨内
GZ-3411307	⿰彐尼
GZ-3412302	⿰重匿
GZ-3412309	⿸厂若
GZ-3412312	⿰石匿
GZ-3422302	⿰皮能
GZ-3422506	⿱能土
GZ-3422508	⿱几一
GZ-3441301	⿰腐丑
GZ-3441307	⿰木奴
GZ-3442110	⿰口晋
GZ-3442111	⿰口⿱亚田
GZ-3442501	⿰宜尼
GZ-3451205	⿰犭那
GZ-3451206	⿰犭匿
GZ-3451401	⿱奈心
GZ-3461102	⿰氵耐
GZ-3461203	⿱面那
GZ-3461204	⿱那可
GZ-3461210	⿰面下
GZ-3461211	⿹丿
GZ-3461213	⿱那𫩑
GZ-3471402	⿰口难
GZ-3472101	⿰南久
GZ-3472501	⿰口闹
GZ-3481503	⿰男那
GZ-3491101	⿰衤他
GZ-3491104	⿰衤那
GZ-3491107	⿰衤大
GZ-3492302	⿰氵匿
GZ-3501415	⿰種今
GZ-3501416	⿰扌種
GZ-3502109	⿰手墨
GZ-3502110	⿰黑林
GZ-3511103	⿰鼻登
GZ-3521305	⿰黑立
GZ-3531201	⿰耒乃
GZ-3532301	⿰身当
GZ-3541501	⿰言大
GZ-3542204	⿰日达
GZ-3542205	⿰火那
GZ-3551102	⿰星劳
GZ-3551103	⿰星闹
GZ-3551107	⿰石劳
GZ-3552501	⿰兀丶
GZ-3552503	⿱好内
GZ-3561202	⿰星内
GZ-3561203	⿰星里
GZ-3561210	⿰星帝
GZ-3571101	⿱刁一
GZ-3571301	⿸尸冂
GZ-3581201	⿱业心
GZ-3582302	⿱竹礼
GZ-3582402	⿰禾吏
GZ-3591201	⿰子丁
GZ-3591401	⿱紅丁
GZ-3591407	⿵门丁
GZ-3591410	⿰丁色
GZ-3592306	⿰生立
GZ-3592505	⿰苦弟
GZ-3601101	⿱日灬
GZ-3601201	⿰酉刁
GZ-3602101	⿰木⿱独下
GZ-3602103	⿰木独
GZ-3602303	⿱竹农
GZ-3602401	⿱竹桶
GZ-3611401	⿰𧾷独
GZ-3612404	⿰朵可
GZ-3621101	⿰骨匿
GZ-3621102	⿰骨若
GZ-3622202	⿰光通
GZ-3622204	⿰岗光
GZ-3622501	⿱不毛
GZ-3631205	⿱木夘
GZ-3631402	⿰虫乱
GZ-3652206	⿰𧾷巾
GZ-3661101	⿰扌业
GZ-3672104	⿰虫寕
GZ-3701102	⿰冇有
GZ-3701305	⿰禺無
GZ-3702201	⿰飠丫
GZ-3702212	⿰牙飠
GZ-3702215	⿰米亚
GZ-3702404	⿰菜爱
GZ-3711102	⿰米早
GZ-3711107	⿰米艾
GZ-3711109	⿰米呆
GZ-3711117	⿰米爱
GZ-3721501	⿰木岸
GZ-3721502	⿰木岩
GZ-3732101	⿰𧾷熬
GZ-3732203	⿰山好
GZ-3742201	⿰木义
GZ-3742402	⿰望宜
GZ-3762502	⿰木迎
GZ-3781106	⿰日艮
GZ-3781111	⿰日夭
GZ-3782309	⿰看岩
GZ-3811101	⿸疒王
GZ-3811302	⿰思患
GZ-3812201	⿰米危
GZ-3822602	⿰果今
GZ-3831501	⿰目年
GZ-3831513	⿰身年
GZ-3832102	⿰小及
GZ-3832303	⿰冫尼
GZ-3832308	⿰冷亟
GZ-3841504	⿱肉女
GZ-3842605	⿰犭肉
GZ-3851202	⿰内少
GZ-3851203	⿵门少
GZ-3861503	⿰鼠丑
GZ-3871501	⿱口往
GZ-3871502	⿱口生
GZ-3872204	⿰耳独
GZ-3881301	⿰耳尼
GZ-3882102	⿰引尼
GZ-3892201	⿰犭忍
GZ-3901102	⿰草曾
GZ-3901207	⿰扌应
GZ-3911402	⿰月了
GZ-3912301	⿹气牙
GZ-3912403	⿰口彩
GZ-3951402	⿰刀交
GZ-3951601	⿰子宜
GZ-3951607	⿰子义
GZ-3952201	⿰耳义
GZ-3952205	⿰口义
GZ-3971201	⿱芽由
GZ-3971302	⿰杀作
GZ-3972502	⿰貝作
GZ-3981101	⿰尿又
GZ-3982501	⿰毛用
GZ-3982509	⿰糸用
GZ-4012201	⿰骨塞
GZ-4022101	⿰出恶
GZ-4042303	⿱利巾
GZ-4042403	⿰阝立
GZ-4061201	⿰木勒
GZ-4062201	⿱林刀
GZ-4062204	⿰刀念
GZ-4062402	⿰氵𢗨
GZ-4062404	⿱冰心
GZ-4071101	⿰米林
GZ-4072202	⿱竹⿰扌𬙙
GZ-4091301	⿰多又
GZ-4091406	⿰头否
GZ-4092101	⿰口头
GZ-4092107	⿰犭头
GZ-4092302	⿰口⿸广了
GZ-4101201	⿱亚田
GZ-4101302	⿰油娄
GZ-4102202	⿰垂長
GZ-4102203	⿰里長
GZ-4102301	⿰雷長
GZ-4102304	⿰口长
GZ-4111101	⿱根下
GZ-4111305	⿰𧾷哉
GZ-4122401	⿱雨來
GZ-4151201	⿱宀兰
GZ-4151301	⿱担甲
GZ-4151303	⿰扌腊
GZ-4151304	⿰木腊
GZ-4151307	⿰担甲
GZ-4151401	⿰氵拉
GZ-4151410	⿰氵腊
GZ-4152201	⿰木下
GZ-4152402	⿰多架
GZ-4162204	⿰耒老
GZ-4162205	⿰耕劳
GZ-4182201	⿰虫厘
GZ-4191101	⿰干良
GZ-4191102	⿰日亮
GZ-4191103	⿰旱𫢉
GZ-4191108	⿰旱令
GZ-4191109	⿰旱良
GZ-4191201	⿲彳力亍
GZ-4211201	⿰甲列
GZ-4212201	⿺尾良
GZ-4212202	⿺毛良
GZ-4222301	⿰𧾷亮
GZ-4232403	⿰石灵
GZ-4232418	⿰石身
GZ-4241401	⿰米灵
GZ-4242301	⿰笑肖
GZ-4242403	⿰手笑
GZ-4252201	⿰六逢
GZ-4252401	⿰六鳥
GZ-4262102	⿰𧾷昏
GZ-4262301	⿱龙下
GZ-4272301	⿰雷串
GZ-4282201	⿰手留
GZ-4282301	⿰日兰
GZ-4282303	⿰早亮
GZ-4291301	⿰光亮
GZ-4291310	⿰弄光
GZ-4291312	⿰日弄
GZ-4291314	⿺光弄
GZ-4301204	⿰扌乱
GZ-4301501	⿰貝彔
GZ-4311101	⿰矢魯
GZ-4321207	⿰𧾷乱
GZ-4322201	⿸户六
GZ-4322210	⿱竹房
GZ-4331409	⿰草侖
GZ-4332401	⿰奉包
GZ-4341201	⿺風林
GZ-4342202	⿰弱用
GZ-4351104	⿰木隆
GZ-4351401	⿰舟乎
GZ-4351404	⿰乎船
GZ-4351501	⿰虫血
GZ-4382107	⿰手則
GZ-4391201	⿰月史
GZ-4391202	⿱肠史
GZ-4401501	⿱竹審
GZ-4412102	⿰手鼻
GZ-4412202	⿰口星
GZ-4422201	⿰扌信
GZ-4422403	⿰抖申
GZ-4431301	⿰亻𡻕
GZ-4432303	⿰木㣊
GZ-4441201	⿰火叟
GZ-4451201	⿰扌再
GZ-4452103	⿰子思
GZ-4452104	⿰子在
GZ-4452108	⿰男哉
GZ-4452110	⿰男在
GZ-4452112	⿰采男
GZ-4462203	⿰木作
GZ-4471102	⿰米三
GZ-4471401	⿰糸山
GZ-4471501	⿰高桑
GZ-4471506	⿰桑上
GZ-4501202	⿰女早
GZ-4501403	⿰女甲
GZ-4501501	⿰扌草
GZ-4511101	⿰書史
GZ-4511104	⿰字書
GZ-4522102	⿰竹查
GZ-4541101	⿱艹虽
GZ-4542101	⿰口些
GZ-4551501	⿰亻星
GZ-4552401	⿰善走
GZ-4561101	⿰早先
GZ-4561105	⿰先扇
GZ-4561106	⿰先善
GZ-4561302	⿰口浅
GZ-4581401	⿱尚心
GZ-4591501	⿰舍史
GZ-4592101	⿰衤四
GZ-4592102	⿰衤自
GZ-4602201	⿰扌星
GZ-4631401	⿰石秀
GZ-4632401	⿰金苏
GZ-4651306	⿰酉尖
GZ-4672101	⿰直坐
GZ-4672106	⿰直索
GZ-4681101	⿰亻所
GZ-4681301	⿰目所
GZ-4681406	⿰石作
GZ-4682208	⿰口酸
GZ-4711401	⿴囗算
GZ-4711410	⿴囗祘
GZ-4721602	⿱松高
GZ-4732204	⿱止⺀
GZ-4732501	⿰木适
GZ-4762501	⿰昷欠
GZ-4771301	⿰弓屋
GZ-4781610	⿰扇杀
GZ-4782101	⿰扌划
GZ-4811204	⿰石歪
GZ-4811301	⿰土外
GZ-4811403	⿰𧾷彩
GZ-4812101	⿰𧾷快
GZ-4821102	⿰牛外
GZ-4821301	⿰衤花
GZ-4821302	⿰衤华
GZ-4821701	⿰石王
GZ-4822201	⿰舌万
GZ-4822203	⿰口患
GZ-4822209	⿰口弯
GZ-4822210	⿰舌弯
GZ-4831503	⿵门往
GZ-4841202	⿰魚患
GZ-4841301	⿰衤化
GZ-4841302	⿰衤瓦
GZ-4841402	⿰讨化
GZ-4851101	⿰虫劳
GZ-4851201	⿸疒化
GZ-4851402	⿰氵瓦
GZ-4861102	⿱列刀
GZ-4871201	⿰丢往
GZ-4871603	⿰扌盏
GZ-4872301	⿰刀歡
GZ-4881301	⿰口划
GZ-4882501	⿱亏心
GZ-4892401	⿰𠁣令
GZ-4901204	⿰扌位
GZ-4912701	⿱云灬
GZ-4932301	⿰伝另
GZ-4932303	⿰亻应
GZ-4962301	⿰𧾷音
GZ-4971301	⿱冖侵
GZ-4982501	⿰馬秀
GZ-4991101	⿰手幼
GZ-4991103	⿰扌有
GZ-4991105	⿰扌右
GZ-5002601	⿰凶恶
GZ-5011204	⿰𧾷因
GZ-5011403	⿰养刂
GZ-5031105	⿰看主
GZ-5042101	⿰肉也
GZ-5042401	⿰𧾷乙
GZ-5051201	⿱父車
GZ-5051501	⿺走乙
GZ-5052301	⿱女灬
GZ-5061601	⿰忄怨
GZ-5072303	⿰𧾷永
GZ-5101302	⿰看可
GZ-5101303	⿰看所
GZ-5101305	⿰目可
GZ-5111401	⿱又止
GZ-5111402	⿱又在
GZ-5111409	⿱幼止
GZ-5131101	⿰立出
GZ-5131301	⿰夜壬
GZ-5131304	⿺夜云
GZJW-01932	⿱宀奠
GZJW-01933	⿰木名
GZJW-01934	⿰益帚
GZJW-01935	⿰阝曼
GZJW-01936	⿱若絲
GZJW-01937	⿰阝尃
GZJW-01938	⿱宀午
GZJW-01939	⿱夂言
GZJW-01940	⿰⿱言阝
GZJW-01942	⿺辶各
GZJW-01943	⿺走𠳋
GZJW-01944	⿰史攵
GZJW-01945	⿱爫𢆶
GZJW-01946	⿰月易
GZJW-01949	⿰幺匀
GZJW-01951	⿰亘阝
GZJW-01956	⿱罒弋
GZJW-01958	⿸厂皃
GZJW-01959	⿰弋阝
GZJW-01960	⿰反阝
GZJW-01961	⿰墨敢
GZJW-01962	⿱猷心
GZJW-01963	⿰六阝
GZJW-01964	⿳爫罒又
GZJW-01965	⿺辶⿱甚𡈼
GZJW-01966	⿱𬹥皿
GZJW-01967	⿱漮皿
GZJW-01968	⿸厂⿰亻糸
GZJW-01969	⿰睘攵
GZJW-01970	⿱罒伐
GZJW-01971	⿱雥泉
GZJW-01973	⿰戈又
GZJW-01974	⿳吅耳吅
GZYS-00321	⿰瓜過
GZYS-08970	⿰出惡
JMJ-000012	⿱𠂊也
JMJ-001865	⿺辶⿱林車
JMJ-002237	⿱竹潭
JMJ-005236	⿰金歴
JMJ-006505	⿰亻丸
JMJ-007458	⿰十刀
JMJ-010793	⿰臣己
JMJ-010952	⿳土八干
JMJ-011474	⿳𠂉彐心
JMJ-012884	⿰扌楽
JMJ-014692	⿰木歴
JMJ-015203	⿰氵𠥽
JMJ-017959	⿸疒歴
JMJ-022574	⿱艸徒
JMJ-024925	⿳𠂉𠔿𧰨
JMJ-025549	⿰車丸
JMJ-025720	⿰車歴
JMJ-027877	⿱雨歴
JMJ-032733	⿰口鴜
JMJ-032767	⿰各養
JMJ-032858	⿴囗⿱𠆢日
JMJ-034243	⿺尣干
JMJ-036681	⿸戶⿱令山
JMJ-037801	⿱𡎐日
JMJ-037911	⿰月𡬶
JMJ-038549	⿰名欠
JMJ-039755	⿰氵⿱②𡩟
JMJ-039953	⿱⿹勹⿱屮屮灬
JMJ-040250	⿸厤爪
JMJ-040315	⿸疒臣
JMJ-041389	⿰田朶
JMJ-042858	⿰石䖍
JMJ-043002	⿰礻朶
JMJ-043169	⿰禾朶
JMJ-043238	⿰禾⿱夕⿵几王
JMJ-044340	⿰米閒
JMJ-044922	⿱网尉
JMJ-044942	⿳网⿰又火
JMJ-046311	⿱ササ
JMJ-048391	⿸广⿱⿳亠比𧘇
JMJ-049443	⿰豕眉
JMJ-051296	⿰⿱𠂒从邑
JMJ-054715	⿱髟朶
JMJ-054860	⿱木⿸⿰鬯又
JMJ-055359	⿱艹⿰魚虘
JMJ-055897	⿰土𪉟
JMJ-056820	⿹十丿
JMJ-056821	⿱一刀
JMJ-056825	⿱一③
JMJ-056828	⿻廾廿
JMJ-056829	
JMJ-056832	⑥
JMJ-056833	⿱サ⿸サ丶
JMJ-056834	⿻𫠠⿻③
JMJ-056842	⿱一
JMJ-056843	⿳一⿳一卌一一
JMJ-056846	⑩
JMJ-056849	⿺𠃊主
JMJ-056850	ん
JMJ-056851	②
JMJ-056852	②
JMJ-056853	②
JMJ-056854	⿱丶丿
JMJ-056856	⿱乄乄
JMJ-056860	⿱千凵
JMJ-056863	⿱丿⿻一隶
JMJ-056864	⿸乚
JMJ-056865	⿺𠃊二
JMJ-056867	④
JMJ-056868	⿻比乚
JMJ-056872	⿱丷亅
JMJ-056874	⿻亐一
JMJ-056875	⿻丷𠀁
JMJ-056876	⿻口𠀁
JMJ-056878	⿳丷④
JMJ-056881	⿱一丅
JMJ-056882	⿱云井
JMJ-056883	⿳一⿰句一
JMJ-056887	⿱亠⿲㇇亅乚
JMJ-056888	⿱亠⿰夕
JMJ-056889	⿱亠𡖅
JMJ-056891	⿳亠日了
JMJ-056892	⿱亠
JMJ-056893	⿱亠⿻艹木
JMJ-056896	⿳亠日子
JMJ-056897	⿱亠⿻山从
JMJ-056899	⿰市來
JMJ-056900	⿳亠罒乑
JMJ-056902	⿰
JMJ-056906	⿰亻亍
JMJ-056924	⿰亻⿱亠矢
JMJ-056925	⿱亼⿰日刂
JMJ-056927	⿰亻⑦
JMJ-056930	⿰亻𤰅
JMJ-056937	⿱仝⿰日刂
JMJ-056938	⿰亻閃
JMJ-056943	⿰亻𠳮
JMJ-056950	⿰亻項
JMJ-056952	⿰亻⿱犮
JMJ-056955	⿰亻賔
JMJ-056956	⿰亻⿱⑧吋
JMJ-056961	⿻丶𠃔
JMJ-056962	⿰𠃋𠃔
JMJ-056963	⿱亠𠃔
JMJ-056964	⿱𠂉𠃔
JMJ-056965	⿻①⿰𠃋𠃔
JMJ-056968	⿱⿸人兀
JMJ-056969	⿱𠂉
JMJ-056971	⿱𠂉⿷丶
JMJ-056972	⑧
JMJ-056973	⿱𠂉⿷厶
JMJ-056974	⿱並儿
JMJ-056977	⿱免免
JMJ-056978	⿱⿱𠂉⿱𠂉
JMJ-056980	⿱丷𡕒
JMJ-056981	⿱𠂉⿻几十
JMJ-056982	⿱𠂒八
JMJ-056987	⿱𠂉⿱一
JMJ-056988	⿱𠂉⿱一
JMJ-056994	⿱𠂉⿳一灬
JMJ-056995	⿳𠂉罒犮
JMJ-056996	⿳廿田六
JMJ-057001	
JMJ-057005	⿳一丿冄
JMJ-057008	⿻市⿰一一
JMJ-057009	⿱丿
JMJ-057011	⿳亠厶冄
JMJ-057012	⿳一⺌
JMJ-057013	⿱云
JMJ-057014	⿱世冄
JMJ-057019	⿱世
JMJ-057020	⿱⺌⿵冂氺
JMJ-057023	⿱冖巳
JMJ-057025	⿱冖𥘑
JMJ-057028	⿱冖具
JMJ-057030	⿱冖屇
JMJ-057031	⿳冖旧
JMJ-057032	⿱冖⿳丰罒心
JMJ-057039	⿱⿳一日八⿶凵女
JMJ-057040	⿺叉刂
JMJ-057041	⿰刄刂
JMJ-057043	⿰主刀
JMJ-057046	⿰礻
JMJ-057047	⿱刀自
JMJ-057048	⿰生刃
JMJ-057050	⿰衤
JMJ-057053	⿰⿱𠂒内刂
JMJ-057054	⿰⿱双刂
JMJ-057055	⿰⿱𠂒禸刂
JMJ-057056	⿰𠙚刂
JMJ-057058	⿰⿱丣金刂
JMJ-057060	⿱𠆢力
JMJ-057065	⿱犱力
JMJ-057068	⿱丷男
JMJ-057069	⿹⑦力
JMJ-057071	⿰𫟯力
JMJ-057072	⿱幼男
JMJ-057074	⿰異力
JMJ-057075	⿰⑪力
JMJ-057076	⿰⿱龷隹力
JMJ-057079	⿹勹⿺𠃊又
JMJ-057084	⿹勹⿱䒑止
JMJ-057085	⿱丷𠨬
JMJ-057086	⿱𠔉匕
JMJ-057087	⿱⺶匕
JMJ-057088	⿷匚主
JMJ-057089	⿷匚⿻妟丷
JMJ-057096	⿱甶千
JMJ-057102	⿱⿲幺言幺十
JMJ-057104	⿱下土
JMJ-057105	⿴㔾丶
JMJ-057106	⿱卜
JMJ-057107	⿱丶⿸丶
JMJ-057109	⿰歹卩
JMJ-057110	⿰卩
JMJ-057111	⿰多即
JMJ-057115	⿱⿰牙攵厂
JMJ-057117	⿸厂⿰丰欠
JMJ-057118	⿱𠡠厂
JMJ-057121	⿸厂⿰羊欠
JMJ-057126	⿱厶友
JMJ-057128	⿱⿰厶刀
JMJ-057129	⿱厶⿱大氺
JMJ-057132	⿱厽
JMJ-057133	⿰㇇又
JMJ-057136	⿱⿰丨申又
JMJ-057137	⿱⿶凵又友
JMJ-057138	⿰
JMJ-057141	⿰屰反
JMJ-057142	⿰百㕝
JMJ-057143	⿱𠂉⿳罒目又
JMJ-057145	⿱𫝀口
JMJ-057155	⿳𠆢爫口
JMJ-057156	⿸口
JMJ-057157	⿱⿰戸又口
JMJ-057159	⿱𠂉⿳口一𧘇
JMJ-057160	⿱龶回
JMJ-057171	⿰口⿱䒑合
JMJ-057174	⿰号乕
JMJ-057177	⿱吅早
JMJ-057179	⿱𠂉⿺𠃊品
JMJ-057182	⿰口⿱䒑老
JMJ-057186	⿱丷⿸厂⿳比口
JMJ-057190	⿰口虗
JMJ-057191	⿳龸⿺𠃊口甘
JMJ-057192	⿰口⿱夕
JMJ-057198	⿳古冖⿱𠀎𧘇
JMJ-057199	⿰⿱䒑句⿱䒑句
JMJ-057201	⿱⿲口丨人𠪚
JMJ-057202	⿳十吅⿳冖𠀎𧘇
JMJ-057205	⿱龶囬
JMJ-057210	⿰丩圡
JMJ-057211	⿱山主
JMJ-057217	⿱⿰土几木
JMJ-057219	⿱䒑⿱口土
JMJ-057220	⿱土⑥
JMJ-057224	⿱艹呈
JMJ-057225	⿳龷口土
JMJ-057232	⿰垂天
JMJ-057236	⿰土⿱⿱冖二羽
JMJ-057238	⿰土⿱冖𠱄
JMJ-057246	⿰土⿱面旦
JMJ-057251	⿳吉一吋
JMJ-057254	⿱⑥夂
JMJ-057259	⿱⿳𠂊罒旧夂
JMJ-057260	⿳䒑⿲止自巳夊
JMJ-057263	⿱々夕
JMJ-057265	𫝢
JMJ-057268	⿰夕⿱⿰九⿰九
JMJ-057272	⿱大于
JMJ-057274	⿻大⿱冂
JMJ-057275	⿱𠔉⺀
JMJ-057279	⿱⿱爫厶大
JMJ-057280	⿳𠂉罒大
JMJ-057281	⿳𠂊罒大
JMJ-057283	⿱⿰生刃大
JMJ-057286	⿻夫叕
JMJ-057287	⿳𠂉⑧大
JMJ-057288	⿱奞旧
JMJ-057290	⿻八女
JMJ-057295	⿱幼女
JMJ-057298	⿱女形
JMJ-057299	⿵戊⿱丷女
JMJ-057313	⿰女𠔥
JMJ-057318	⿰女䴡
JMJ-057320	⿰子糸
JMJ-057323	⿰⿳亠日子丸
JMJ-057325	⿳⿲刂歹彐冖子
JMJ-057329	⿱宀𡖅
JMJ-057331	⿱宀⿰歹匕
JMJ-057332	⿱宀舌
JMJ-057335	⿱宀⿺元文
JMJ-057338	⿱宀⿳旧一八
JMJ-057339	⿱宀⿰女百
JMJ-057340	⿱宀竒
JMJ-057341	⿳宀尸⿱皿亅
JMJ-057342	⿳宀癶山
JMJ-057344	⿱宀⿰女厘
JMJ-057346	⿰丩𪧷
JMJ-057347	⿱忌寸
JMJ-057348	⿸𫝕寸
JMJ-057351	⿰⿳十艹土寸
JMJ-057353	⿰荎寸
JMJ-057354	⿰⿳䒑口土寸
JMJ-057359	⿳八⑧⿱一寸
JMJ-057360	⿰⿳业口土寸
JMJ-057361	⿱天小
JMJ-057362	⿱立小
JMJ-057363	⿱⿰礻尒
JMJ-057364	⿰⿱亠旦尤
JMJ-057365	⿰亰尤
JMJ-057369	⿸尸目
JMJ-057370	⿸尸⿻⿰二二十
JMJ-057371	⿸尸⿳土中禸
JMJ-057374	⿱丿㞢
JMJ-057375	⿱丿⑤
JMJ-057377	⿰山
JMJ-057378	⿰山下
JMJ-057384	⿱𠂉⿻龷山
JMJ-057386	⿱亠⿳艹亠山
JMJ-057387	⿱山居
JMJ-057389	⿱山⿲彳歹攵
JMJ-057390	⿱山⿲彳王攵
JMJ-057391	⿰山⿸广胃
JMJ-057399	⿳一𫶧
JMJ-057400	⿱巛山
JMJ-057401	⿱巛凶
JMJ-057402	⿱巛歺
JMJ-057403	⿲⿰冫丨
JMJ-057407	⿻王从
JMJ-057412	⿰左兒
JMJ-057414	⿱丷⿸厂巳
JMJ-057419	⿰巾各
JMJ-057422	⿳冖巾
JMJ-057425	⿱五吊
JMJ-057427	⿰巾被
JMJ-057430	⿻午二
JMJ-057433	⿹㇉
JMJ-057438	⿸广弖
JMJ-057444	⿸广垂
JMJ-057450	⿸广裂
JMJ-057451	⿸广⿳冖巾
JMJ-057452	⿸广⿱⿲尸亻日
JMJ-057453	⿺廴
JMJ-057454	⿺廴⿱一⿺乚⺀
JMJ-057456	⿱⿰生刀廾
JMJ-057458	⿹弋
JMJ-057460	⿱丶①
JMJ-057463	⿹⿻𫠠弓力
JMJ-057464	⿰弓妙
JMJ-057467	⿰弓⿱𠂉虫
JMJ-057468	⿰弓⿱𠂉⿻口山
JMJ-057469	⿰弓⿱口⿻口山
JMJ-057470	⿱业𢎿
JMJ-057472	⿱賏弓
JMJ-057474	⿱③③
JMJ-057476	⿱𠚤④
JMJ-057477	⿱④④
JMJ-057479	⿱⿰龶龶③
JMJ-057483	⿰壴久
JMJ-057485	⿰彳𪠲
JMJ-057487	⿰彳⿱平一
JMJ-057491	⿱⿺𠃊二心
JMJ-057492	⿱么心
JMJ-057497	⿰忄刕
JMJ-057498	⿳𠂉心
JMJ-057499	⿱𡖅心
JMJ-057500	⿱⿰冫口心
JMJ-057501	⿱⿻丷土心
JMJ-057505	⿱𢑑心
JMJ-057506	⿳彐心
JMJ-057513	⿰忄送
JMJ-057514	⿰忄𢙣
JMJ-057516	⿱⿱冖尸⿱罒心
JMJ-057519	⿰忄𠁅
JMJ-057523	⿸思
JMJ-057526	⿰忄⿱龷隹
JMJ-057528	⿱心靜
JMJ-057531	⿰忄𢡃
JMJ-057536	⿱土戈
JMJ-057538	⿱从戈
JMJ-057541	⿰𦙃义
JMJ-057542	⿰虗戈
JMJ-057543	⿰⿸豆戈
JMJ-057545	⿱一⿰日丁
JMJ-057547	⿸戶
JMJ-057548	⿸户叐
JMJ-057552	⿰扌𠮦
JMJ-057554	⿰扌𪠲
JMJ-057556	⿸𢪙乀
JMJ-057563	⿰扌柰
JMJ-057567	⿰扌⿳𠂉口⿱一𧘇
JMJ-057580	④
JMJ-057582	⿲亻丨攴
JMJ-057583	⿰丬攵
JMJ-057585	⿰出攵
JMJ-057588	⿰朿攴
JMJ-057589	⿰⿱刍一攵
JMJ-057590	⿰杀攵
JMJ-057591	⿰尗攵
JMJ-057593	⿰束攴
JMJ-057596	⿱龷𢎿
JMJ-057598	⿰攴
JMJ-057600	⿰享攴
JMJ-057601	⿱非攵
JMJ-057602	⿱龷放
JMJ-057603	⿰昔④
JMJ-057604	⿰攴
JMJ-057605	⿰⿱白⿱一夂攵
JMJ-057607	⿰皆攵
JMJ-057609	⿰⿳亠日子攵
JMJ-057613	⿰章攵
JMJ-057616	⿰⿱⿻口木女犮
JMJ-057620	⿱⿲〢丨人𠪚
JMJ-057621	⿰𪋘攵
JMJ-057625	⿸𠂋丅
JMJ-057627	⿰⿱旧匂⿸𠂋丅
JMJ-057630	⿻一力
JMJ-057632	⿰②方
JMJ-057634	⿰方厶
JMJ-057636	⿰方⿱⿰丿丿也
JMJ-057638	⿱𠚤
JMJ-057639	⿰⿱
JMJ-057640	⿰方⿱厶天
JMJ-057643	⿰方𧈧
JMJ-057646	⿰方亶
JMJ-057648	⿱𠂉日
JMJ-057649	⿱厶日
JMJ-057650	⑥
JMJ-057652	⿲①⿱厶日①
JMJ-057654	⿱曰日
JMJ-057658	⿱田日
JMJ-057660	⿱丿者
JMJ-057661	⿱日𠣏
JMJ-057667	⿱日
JMJ-057668	⿳日皿
JMJ-057670	⿱⿱𠂊田日
JMJ-057675	⿱日恭
JMJ-057676	⿰曷去
JMJ-057678	⿰景久
JMJ-057683	⿰景圖
JMJ-057691	⿱月明
JMJ-057704	⿰木𢆯
JMJ-057715	⿱丗木
JMJ-057716	⿱𤮺木
JMJ-057717	⿱⿹弓木
JMJ-057726	⿰木刕
JMJ-057730	⿻来䒑
JMJ-057737	⿱⿱丷⿹弓木
JMJ-057738	⿱𫝣木
JMJ-057739	⿱⿰歹木
JMJ-057740	⿱⿰歹㐄木
JMJ-057747	⿰木⿱口矢
JMJ-057751	⿰木廻
JMJ-057754	⿱㱛木
JMJ-057755	⿱來㣺
JMJ-057756	⿱龷𦍎
JMJ-057770	⿱來氺
JMJ-057771	⿻未𠈌
JMJ-057786	⿱⿰丙丙木
JMJ-057788	⿱来来
JMJ-057789	⿻耒𠈌
JMJ-057791	⿰木⿱白母
JMJ-057792	⿰木⿰臣犬
JMJ-057794	⿰木𨾏
JMJ-057810	⿰木⿱亠枼
JMJ-057815	⿱⿲木夕木火
JMJ-057838	⿰楷戈
JMJ-057840	⿱⿲木夕木⿱大
JMJ-057846	⿰木𨕞
JMJ-057854	⿰木穀
JMJ-057863	⿰木⿳亠吅隹
JMJ-057870	⿱一⿰巢⿱夫
JMJ-057875	⿰木⿳十目㒹
JMJ-057879	⿰羊欠
JMJ-057881	⿰𠤻欠
