# Copyright (c) 2014-2015 CJKVI Database
GPGLG-3028	⿰犭茂
GPGLG-3029	⿵门内
GPGLG-3030	⿰乐外
GPGLG-3031	⿰亻学
GPGLG-3032	⿰光夭
GPGLG-3033	⿰公布
GPGLG-3034	⿰六鸟
GPGLG-3035	⿰养丈
GPGLG-3036	⿰冫力
GPGLG-3037	⿰哥皮
GPGLG-3038	⿱坟木
GPGLG-3039	⿰夭鸟
GPGLG-3040	⿰女农
GPGLG-3041	⿰子儿
GPGLG-3042	⿰学丑
GPGLG-3044	⿱次比
GPGLG-3045	⿱水林
GPGLG-3046	⿰田来
GPGLG-3047	⿰舟六
GPGLG-3048	⿺辶龙
GPGLG-4001	⿰里鸟
GPGLG-4002	⿱了一
GPGLG-4003	⿰车兵
GPGLG-4005	⿵门北
GPGLG-4006	⿱了灬
GPGLG-4007	⿰了丶
GPGLG-5001	⿰甘弯
GPGLG-5002	⿰⺼业
GPGLG-5003	⿰刀昆
GPGLG-5004	⿰岁卑
GPGLG-5005	⿰忄万
GPGLG-5006	⿰民羽
GPGLG-5007	⿰学官
GPGLG-5008	⿱能坐
GXHZ-005	⿰赞刂
GXHZ-010	⿰巾无
GXHZ-011	⿰弓广
GXHZ-013	⿰扌颠
GXHZ-014	⿰𠬤攵
GXHZ-019	⿰氵项
GXHZ-023	⿱竹阑
GXHZ-024	⿰纟卢
GXHZ-025	⿰纟失
GXHZ-026	⿰纟圭
GXHZ-027	⿰纟呙
GXHZ-028	⿰纟两
GXHZ-030	⿰纟卒
GXHZ-031	⿰纟取
GXHZ-033	⿰纟崔
GXHZ-036	⿱艹婴
GXHZ-037	⿰虫节
GXHZ-040	⿰衤两
GXHZ-042	⿰衤颉
GXHZ-046	⿲讠卖言
GXHZ-049	⿰车瓜
GXHZ-050	⿰车而
GXHZ-052	⿰车盾
GXHZ-053	⿰车睘
GXHZ-054	⿰车葛
GXHZ-055	⿰酉仓
GXHZ-056	⿰钅工
GXHZ-057	⿰钅厷
GXHZ-062	⿰钅叕
GXHZ-063	⿰钅虑
GXHZ-064	⿰钅豦
GXHZ-067	⿰韦长
GXHZ-068	⿰韦华
GXHZ-071	⿺风翏
GXHZ-073	⿰饣曷
GXHZ-074	⿰饣壹
GXHZ-078	⿰马尨
GXHZ-079	⿰马㚇
GXHZ-081	⿰马敦
GXHZ-086	⿰鱼旨
GXHZ-087	⿱𣦼鱼
GXHZ-090	⿰鱼骨
GXHZ-091	⿰鱼翁
GXHZ-092	⿰鱼衔
GXHZ-093	⿰鱼箴
GXHZ-094	⿰共鸟
GXHZ-095	⿰岑鸟
GXHZ-097	⿰爽鸟
GXHZ-098	⿰卤亢
GXHZ-099	⿰麦牟
GXHZ-100	⿰齿可
GZ-0011101	⿰丫鳥
GZ-0011701	⿰弓益
GZ-0012111	⿰身厄
GZ-0012301	⿰个恩
GZ-0012303	⿱父口
GZ-0031402	⿲月日了
GZ-0032502	⿰忄爱
GZ-0032603	⿰𫔭五
GZ-0041103	⿰力益
GZ-0041301	⿰安馬
GZ-0051310	⿰亻奥
GZ-0061501	⿱比去
GZ-0062102	⿰目八
GZ-0062201	⿺⿱甶儿弗
GZ-0071401	⿰手分
GZ-0072302	⿰布朋
GZ-0081101	⿰車奔
GZ-0091102	⿰口备
GZ-0091401	⿰毕巴
GZ-0092501	⿰公甫
GZ-0101201	⿰黑咅
GZ-0102101	⿰年咅
GZ-0111101	⿱剝刀
GZ-0111201	⿸疒白
GZ-0112602	⿰祭排
GZ-0131301	⿱班日
GZ-0132301	⿰衤旁
GZ-0141101	⿰亻邦
GZ-0141401	⿺走班
GZ-0172501	⿰卑年
GZ-0172502	⿰年卑
GZ-0182208	⿱比兄
GZ-0182210	⿰皮先
GZ-0182501	⿰扇皮
GZ-0191301	⿰手别
GZ-0212401	⿰比年
GZ-0212404	⿰皮年
GZ-0212407	⿰年比
GZ-0221508	⿰亻别
GZ-0221510	⿰芋别
GZ-0241101	⿺辶品
GZ-0241301	⿰虫兵
GZ-0241501	⿰米兵
GZ-0242201	⿸疒兵
GZ-0242302	⿰米并
GZ-0262202	⿰虫表
GZ-0262604	⿰皮肥
GZ-0281301	⿰番卜
GZ-0282403	⿰米朋
GZ-0292203	⿰追本
GZ-0292206	⿰扌贫
GZ-0292401	⿰石品
GZ-0301306	⿱父卜
GZ-0302101	⿰火皮
GZ-0312301	⿺辶彭
GZ-0332401	⿰公卜
GZ-0342401	⿰扌普
GZ-0352404	⿰扌盘
GZ-0372301	⿺毛本
GZ-0372302	⿺毛卉
GZ-0381201	⿸尸本
GZ-0382202	⿰魚岜
GZ-0382505	⿱艹百
GZ-0391302	⿰平文
GZ-0392505	⿰𧾷外
GZ-0401201	⿰雷岜
GZ-0401206	⿰雷巴
GZ-0401507	⿰口榜
GZ-0411301	⿰刀巴
GZ-0412201	⿰扌岜
GZ-0421201	⿺毛品
GZ-0422202	⿰口朋
GZ-0431503	⿰半中
