JTAF07	⿰口⿱亼朋
JTAF08	⿰品司
JTAF12	⿱敬口
JTAF13	⿳吅田古
JTAF19	⿰口⿳𦣻冖戈
JTAF26	⿰口駁
JTAF2B	⿱⿰𠤕圣回
JTAF35	⿰口𧸤
JTAF36	⿰口讀
JTAF3D	⿴囗芳
JTAF3F	⿴囗専
JTAF4C	⿰土匂
JTAF4D	⿱⿰？土
JTAF53	⿰土厉
JTAF54	⿳土八干
JTAF57	⿰土羽
JTAF5A	⿱𤰜土
JTAF5F	⿰土⿱𠂉旦
JTAF61	⿰土寿
JTAF63	⿰土参
JTAF66	⿱明土
JTAF6E	⿰土竒
JTAF76	⿰土⿱勿
JTAF77S	⿰土⿱⿱冖二羽
JTAF78S	⿰土⿱山完
JTAF96	⿰土聞
JTAF97	⿰土⿱面旦
JTAF99	⿰土睿
JTAF9FS	⿸厂⿱⿰冒犬土
JTAFA1	⿰土𪉟
JTAFA3	⿰度基
JTAFA4	⿱士加
JTAFA5	⿳士冖亜
JTAFA6	⿱士⿳乛工吋
JTAFA7	⿳？一吋
JTAFA9	⿳⿳吉乛工一吋
JTAFAD	⿳亦一夂
JTAFAES	⿰⿱千日⿳一目夂
JTAFAF	⿰千憂
JTAFB2S	⿱正夂
JTAFB3	⿱？夂
JTAFB4	⿱夂
JTAFB5	⿱林夂
JTAFB8	⿰夕⿺十丶
JTAFBDS	⿰夕⿸丶
JTAFBE	⿱九大
JTAFC0	⿱大王
JTAFC3	⿱⿰冫士大
JTAFC7	⿱吕大
JTAFCBS	⿱𠔉市
JTAFCES	⿱夭朋
JTAFD1	⿱一𦤑
JTAFD3S	⿳⺊⿵⺆米大
JTAFD5	⿱⿰氵⿱𠂊田大
JTAFD8	⿱⿲幺車幺大
JTAFD9	⿳四⿰四四大
JTAFDB	⿰女刀
JTAFE0S	⿰女㐄
JTAFE1S	⿰女⿹勹㐅
JTAFF3	⿱⿰牙攵女
JTAFF9S	⿰女⿳亠口⿱冖巾
JTAFFB	⿰女⿳艹⿱一艹口
JTB000	⿰女亀
JTB001	⿱減女
JTB009	⿰子厶
JTB00A	⿰子己
JTB00C	⿰子且
JTB00E	⿳⿰〢⿻丨⿱丿丿冖子
JTB00FS	⿰子武
JTB012	⿳⿲〢⿱㐅㐅？冖子
JTB013	⿳⿲〢？？冖子
JTB017	⿳⿲？？？冖子
JTB01A	⿱宀禾
JTB020	⿳宀立丁
JTB022	⿱宀⿻虫一
JTB025	⿱宀幸
JTB02A	⿱宀泌
JTB034S	⿳宀龷見
JTB03B	⿱宀⿳艹目心
JTB03C	⿳宀玨貝
